Trade Description,Underlying,Strike,Implied Vol (Daily BP),DV01 Gamma,Theta,%Delta,Vega
1st 10y note 0 out call,110-26,110.75,8.06,4002,-124781,0.5660000000000001,1188
1st 10y note 0 out put,110-26,110.75,8.06,4002,-124772,-0.434,1188
1st 10y note 25 out call,110-26,111.0,8.21,3574,-80572,0.318,1074
1st 10y note 25 out put,110-26,110.5,7.84,2935,-42580,-0.201,851
1st 10y note 50 out call,110-26,111.25,8.54,2184,-29822,0.14300000000000002,679
1st 10y note 50 out put,110-26,110.25,7.87,1351,-11230,-0.067,395
1st 10y note 75 out call,110-26,111.5,9.06,1047,-10481,0.057,343
1st 10y note 75 out put,110-26,110.0,8.61,537,-3783,-0.024,173
1st 10y note 100 out call,110-26,111.75,9.62,439,-3568,0.021,152
1st 10y note 100 out put,110-26,109.75,8.61,135,-649,-0.005,43
2nd 10y note 0 out call,110-26,110.75,7.56,2049,-65631,0.536,2523
2nd 10y note 0 out put,110-26,110.75,7.56,2049,-65631,-0.46399999999999997,2523
2nd 10y note 25 out call,110-26,111.0,7.75,1959,-65135,0.408,2460
2nd 10y note 25 out put,110-26,110.5,7.38,1917,-57560,-0.33399999999999996,2318
2nd 10y note 50 out call,110-26,111.25,7.62,1752,-54026,0.287,2152
2nd 10y note 50 out put,110-26,110.25,7.24,1578,-43283,-0.218,1881
2nd 10y note 75 out call,110-26,111.5,7.61,1388,-39823,0.187,1694
2nd 10y note 75 out put,110-26,110.0,7.28,1138,-29229,-0.132,1372
2nd 10y note 100 out call,110-26,111.75,8.02,1010,-29823,0.125,1291
2nd 10y note 100 out put,110-26,109.75,7.19,723,-16222,-0.07,865
3rd 10y note 0 out call,110-26,110.75,7.15,1602,-43410,0.529,3418
3rd 10y note 0 out put,110-26,110.75,7.15,1602,-43412,-0.47,3418
3rd 10y note 25 out call,110-26,111.0,7.32,1549,-43675,0.429,3365
3rd 10y note 25 out put,110-26,110.5,7.1,1527,-40758,-0.369,3251
3rd 10y note 50 out call,110-26,111.25,7.05,1483,-38208,0.32799999999999996,3088
3rd 10y note 50 out put,110-26,110.25,7.2,1338,-36465,-0.28,2907
3rd 10y note 75 out call,110-26,111.5,7.26,1262,-33705,0.247,2691
3rd 10y note 75 out put,110-26,110.0,7.21,1114,-29915,-0.201,2435
3rd 10y note 100 out call,110-26,111.75,7.45,1028,-28098,0.18100000000000002,2237
3rd 10y note 100 out put,110-26,109.75,7.16,868,-22423,-0.136,1895
4th 10y note 0 out call,110-26,110.75,7.14,1477,-39486,0.528,3714
4th 10y note 0 out put,110-26,110.75,7.14,1478,-39487,-0.47200000000000003,3714
4th 10y note 25 out call,110-26,111.0,7.04,1484,-38352,0.433,3660
4th 10y note 25 out put,110-26,110.5,6.85,1464,-36024,-0.375,3548
4th 10y note 50 out call,110-26,111.25,7.09,1380,-35734,0.342,3411
4th 10y note 50 out put,110-26,110.25,6.97,1293,-32811,-0.289,3207
4th 10y note 75 out call,110-26,111.5,7.35,1196,-32733,0.267,3048
4th 10y note 75 out put,110-26,110.0,6.68,1111,-25561,-0.203,2656
4th 10y note 100 out call,110-26,111.75,7.27,1016,-26565,0.195,2547
4th 10y note 100 out put,110-26,109.75,7.06,874,-22175,-0.152,2221
5th 10y note 0 out call,110-26,110.75,6.85,1322,-32062,0.525,4328
5th 10y note 0 out put,110-26,110.75,6.85,1322,-32064,-0.473,4328
5th 10y note 25 out call,110-26,111.0,6.77,1328,-31333,0.441,4279
5th 10y note 25 out put,110-26,110.5,6.85,1271,-30952,-0.391,4186
5th 10y note 50 out call,110-26,111.25,6.85,1248,-29893,0.36,4048
5th 10y note 50 out put,110-26,110.25,6.79,1177,-28142,-0.311,3863
5th 10y note 75 out call,110-26,111.5,6.89,1130,-27048,0.28600000000000003,3668
5th 10y note 75 out put,110-26,110.0,6.94,1022,-25431,-0.244,3443
5th 10y note 100 out call,110-26,111.75,6.91,984,-23277,0.21899999999999997,3182
5th 10y note 100 out put,110-26,109.75,6.8,866,-20551,-0.179,2877
6th 10y note 0 out call,110-26,110.75,6.87,1163,-28157,0.523,4903
6th 10y note 0 out put,110-26,110.75,6.87,1163,-28159,-0.475,4903
6th 10y note 25 out call,110-26,111.0,7.01,1137,-28487,0.451,4863
6th 10y note 25 out put,110-26,110.5,6.89,1124,-27510,-0.402,4778
6th 10y note 50 out call,110-26,111.25,6.92,1109,-26896,0.37799999999999995,4658
6th 10y note 50 out put,110-26,110.25,6.89,1053,-25821,-0.33299999999999996,4499
6th 10y note 75 out call,110-26,111.5,7.02,1021,-25280,0.313,4330
6th 10y note 75 out put,110-26,110.0,6.88,954,-23300,-0.268,4089
6th 10y note 100 out call,110-26,111.75,6.9,930,-21972,0.248,3856
6th 10y note 100 out put,110-26,109.75,6.86,834,-20268,-0.21,3588
7th 10y note 0 out call,110-28.5,111.0,6.99,973,-24106,0.479,5868
7th 10y note 0 out put,110-28.5,111.0,7.0,972,-24103,-0.519,5868
7th 10y note 25 out call,110-28.5,111.25,7.01,955,-23630,0.419,5742
7th 10y note 25 out put,110-28.5,110.75,6.98,967,-24035,-0.45799999999999996,5859
7th 10y note 50 out call,110-28.5,111.5,7.04,914,-22666,0.36200000000000004,5493
7th 10y note 50 out put,110-28.5,110.5,6.98,940,-23417,-0.39799999999999996,5716
7th 10y note 75 out call,110-28.5,111.75,7.09,855,-21341,0.308,5145
7th 10y note 75 out put,110-28.5,110.25,6.98,890,-22307,-0.341,5448
7th 10y note 100 out call,110-28.5,112.0,7.18,780,-19844,0.26,4735
7th 10y note 100 out put,110-28.5,110.0,7.01,822,-20831,-0.287,5079
1st 10y note 0 out call,110-28,111.0,8.21,3804,-102271,0.377,1145
1st 10y note 0 out put,110-28,111.0,8.21,3803,-102314,-0.623,1145
1st 10y note 25 out call,110-28,111.25,8.54,2541,-39929,0.18100000000000002,792
1st 10y note 25 out put,110-28,110.75,8.06,3846,-99611,-0.37200000000000005,1143
1st 10y note 50 out call,110-28,111.5,9.06,1302,-14612,0.076,428
1st 10y note 50 out put,110-28,110.5,7.84,2520,-31383,-0.158,731
1st 10y note 75 out call,110-28,111.75,9.62,574,-5133,0.028999999999999998,199
1st 10y note 75 out put,110-28,110.25,7.87,1042,-7645,-0.048,305
1st 10y note 100 out call,110-28,112.0,9.62,178,-1113,0.006999999999999999,61
1st 10y note 100 out put,110-28,110.0,8.61,395,-2517,-0.017,127
2nd 10y note 0 out call,110-28,111.0,7.75,1989,-66522,0.44,2501
2nd 10y note 0 out put,110-28,111.0,7.75,1989,-66537,-0.56,2501
2nd 10y note 25 out call,110-28,111.25,7.62,1829,-57118,0.315,2249
2nd 10y note 25 out put,110-28,110.75,7.56,2027,-64839,-0.43200000000000005,2500
2nd 10y note 50 out call,110-28,111.5,7.61,1488,-43551,0.21,1818
2nd 10y note 50 out put,110-28,110.5,7.38,1843,-54835,-0.304,2232
2nd 10y note 75 out call,110-28,111.75,8.02,1101,-33313,0.141,1410
2nd 10y note 75 out put,110-28,110.25,7.24,1471,-39678,-0.19399999999999998,1756
2nd 10y note 100 out call,110-28,112.0,8.69,805,-26769,0.10099999999999999,1111
2nd 10y note 100 out put,110-28,110.0,7.28,1032,-25895,-0.115,1246
3rd 10y note 0 out call,110-28,111.0,7.32,1563,-44184,0.45399999999999996,3400
3rd 10y note 0 out put,110-28,111.0,7.32,1563,-44193,-0.545,3400
3rd 10y note 25 out call,110-28,111.25,7.05,1524,-39434,0.35200000000000004,3177
3rd 10y note 25 out put,110-28,110.75,7.15,1591,-43147,-0.445,3399
3rd 10y note 50 out call,110-28,111.5,7.26,1316,-35360,0.267,2809
3rd 10y note 50 out put,110-28,110.5,7.1,1491,-39755,-0.345,3180
3rd 10y note 75 out call,110-28,111.75,7.45,1086,-29920,0.198,2366
3rd 10y note 75 out put,110-28,110.25,7.2,1287,-34958,-0.259,2800
3rd 10y note 100 out call,110-28,112.0,7.21,849,-21030,0.128,1781
3rd 10y note 100 out put,110-28,110.0,7.21,1054,-28174,-0.184,2308
4th 10y note 0 out call,110-28,111.0,7.04,1496,-38754,0.456,3696
4th 10y note 0 out put,110-28,111.0,7.04,1496,-38766,-0.5429999999999999,3696
4th 10y note 25 out call,110-28,111.25,7.09,1412,-36677,0.364,3493
4th 10y note 25 out put,110-28,110.75,7.14,1469,-39292,-0.44799999999999995,3697
4th 10y note 50 out call,110-28,111.5,7.35,1238,-34032,0.287,3158
4th 10y note 50 out put,110-28,110.5,6.85,1433,-35234,-0.35200000000000004,3477
4th 10y note 75 out call,110-28,111.75,7.27,1067,-28063,0.212,2678
4th 10y note 75 out put,110-28,110.25,6.97,1248,-31607,-0.26899999999999996,3100
4th 10y note 100 out call,110-28,112.0,7.59,866,-24308,0.162,2259
4th 10y note 100 out put,110-28,110.0,6.68,1053,-24120,-0.18600000000000003,2520
5th 10y note 0 out call,110-28,111.0,6.77,1337,-31589,0.462,4313
5th 10y note 0 out put,110-28,111.0,6.77,1336,-31599,-0.537,4313
5th 10y note 25 out call,110-28,111.25,6.85,1270,-30498,0.38,4125
5th 10y note 25 out put,110-28,110.75,6.85,1315,-31947,-0.452,4313
5th 10y note 50 out call,110-28,111.5,6.89,1163,-27922,0.304,3779
5th 10y note 50 out put,110-28,110.5,6.85,1251,-30473,-0.37,4125
5th 10y note 75 out call,110-28,111.75,6.91,1023,-24316,0.235,3315
5th 10y note 75 out put,110-28,110.25,6.79,1146,-27365,-0.292,3763
5th 10y note 100 out call,110-28,112.0,7.28,856,-22284,0.18899999999999997,2908
5th 10y note 100 out put,110-28,110.0,6.94,984,-24475,-0.22899999999999998,3322
6th 10y note 0 out call,110-28,111.0,7.01,1142,-28657,0.469,4891
6th 10y note 0 out put,110-28,111.0,7.01,1141,-28665,-0.53,4891
6th 10y note 25 out call,110-28,111.25,6.92,1124,-27307,0.396,4727
6th 10y note 25 out put,110-28,110.75,6.87,1159,-28088,-0.457,4890
6th 10y note 50 out call,110-28,111.5,7.02,1043,-25884,0.32899999999999996,4429
6th 10y note 50 out put,110-28,110.5,6.89,1110,-27193,-0.384,4725
6th 10y note 75 out call,110-28,111.75,6.9,959,-22725,0.263,3981
6th 10y note 75 out put,110-28,110.25,6.89,1031,-25295,-0.316,4411
6th 10y note 100 out call,110-28,112.0,7.05,835,-20396,0.21100000000000002,3521
6th 10y note 100 out put,110-28,110.0,6.88,926,-22619,-0.253,3976
7th 10y note 0 out call,110-30.05,111.0,6.99,974,-24151,0.491,5880
7th 10y note 0 out put,110-30.05,111.0,7.0,973,-24159,-0.507,5880
7th 10y note 25 out call,110-30.05,111.25,7.01,960,-23786,0.431,5780
7th 10y note 25 out put,110-30.05,110.75,6.98,964,-23978,-0.446,5845
7th 10y note 50 out call,110-30.05,111.5,7.04,924,-22922,0.373,5554
7th 10y note 50 out put,110-30.05,110.5,6.98,932,-23251,-0.387,5676
7th 10y note 75 out call,110-30.05,111.75,7.09,867,-21678,0.318,5225
7th 10y note 75 out put,110-30.05,110.25,6.98,879,-22047,-0.33,5386
7th 10y note 100 out call,110-30.05,112.0,7.18,794,-20241,0.27,4827
7th 10y note 100 out put,110-30.05,110.0,7.01,808,-20496,-0.278,5000
1st 10y note 0 out call,110-24,110.75,8.06,4057,-153927,0.502,1203
1st 10y note 0 out put,110-24,110.75,8.06,4058,-153903,-0.498,1203
1st 10y note 25 out call,110-24,111.0,8.21,3272,-62419,0.264,982
1st 10y note 25 out put,110-24,110.5,7.84,3325,-56692,-0.251,963
1st 10y note 50 out call,110-24,111.25,8.54,1833,-21884,0.111,569
1st 10y note 50 out put,110-24,110.25,7.87,1705,-16159,-0.091,498
1st 10y note 75 out call,110-24,111.5,9.06,824,-7391,0.042,270
1st 10y note 75 out put,110-24,110.0,8.61,714,-5585,-0.034,229
1st 10y note 100 out call,110-24,111.75,9.62,329,-2442,0.015,114
1st 10y note 100 out put,110-24,109.75,8.61,196,-1032,-0.008,63
2nd 10y note 0 out call,110-24,110.75,7.56,2057,-65878,0.503,2530
2nd 10y note 0 out put,110-24,110.75,7.56,2058,-65864,-0.49700000000000005,2530
2nd 10y note 25 out call,110-24,111.0,7.75,1917,-63255,0.377,2404
2nd 10y note 25 out put,110-24,110.5,7.38,1980,-59889,-0.365,2391
2nd 10y note 50 out call,110-24,111.25,7.62,1668,-50668,0.26,2046
2nd 10y note 50 out put,110-24,110.25,7.24,1680,-46795,-0.244,2000
2nd 10y note 75 out call,110-24,111.5,7.61,1286,-36108,0.166,1567
2nd 10y note 75 out put,110-24,110.0,7.28,1246,-32711,-0.151,1500
2nd 10y note 100 out call,110-24,111.75,8.02,920,-26498,0.109,1175
2nd 10y note 100 out put,110-24,109.75,7.19,816,-18855,-0.083,976
3rd 10y note 0 out call,110-24,110.75,7.15,1606,-43490,0.504,3423
3rd 10y note 0 out put,110-24,110.75,7.15,1606,-43477,-0.496,3423
3rd 10y note 25 out call,110-24,111.0,7.32,1529,-42981,0.405,3317
3rd 10y note 25 out put,110-24,110.5,7.1,1556,-41593,-0.39399999999999996,3310
3rd 10y note 50 out call,110-24,111.25,7.05,1438,-36842,0.305,2989
3rd 10y note 50 out put,110-24,110.25,7.2,1386,-37869,-0.301,3006
3rd 10y note 75 out call,110-24,111.5,7.26,1206,-31980,0.22699999999999998,2568
3rd 10y note 75 out put,110-24,110.0,7.21,1172,-31624,-0.22,2558
3rd 10y note 100 out call,110-24,111.75,7.45,970,-26272,0.165,2107
3rd 10y note 100 out put,110-24,109.75,7.16,929,-24154,-0.15,2025
4th 10y note 0 out call,110-24,110.75,7.14,1481,-39544,0.504,3718
4th 10y note 0 out put,110-24,110.75,7.14,1481,-39530,-0.495,3718
4th 10y note 25 out call,110-24,111.0,7.04,1466,-37803,0.409,3612
4th 10y note 25 out put,110-24,110.5,6.85,1490,-36679,-0.39799999999999996,3606
4th 10y note 50 out call,110-24,111.25,7.09,1345,-34678,0.321,3319
4th 10y note 50 out put,110-24,110.25,6.97,1335,-33926,-0.31,3306
4th 10y note 75 out call,110-24,111.5,7.35,1152,-31365,0.249,2932
4th 10y note 75 out put,110-24,110.0,6.68,1168,-26973,-0.221,2789
4th 10y note 100 out call,110-24,111.75,7.27,964,-25050,0.179,2415
4th 10y note 100 out put,110-24,109.75,7.06,927,-23629,-0.166,2352
5th 10y note 0 out call,110-24,110.75,6.85,1324,-32096,0.504,4332
5th 10y note 0 out put,110-24,110.75,6.85,1324,-32084,-0.494,4332
5th 10y note 25 out call,110-24,111.0,6.77,1316,-30982,0.42,4234
5th 10y note 25 out put,110-24,110.5,6.85,1288,-31345,-0.41100000000000003,4236
5th 10y note 50 out call,110-24,111.25,6.85,1223,-29211,0.34,3961
5th 10y note 50 out put,110-24,110.25,6.79,1207,-28856,-0.33,3954
5th 10y note 75 out call,110-24,111.5,6.89,1096,-26121,0.268,3550
5th 10y note 75 out put,110-24,110.0,6.94,1057,-26349,-0.261,3559
5th 10y note 100 out call,110-24,111.75,6.91,943,-22215,0.204,3046
5th 10y note 100 out put,110-24,109.75,6.8,908,-21582,-0.193,3011
6th 10y note 0 out call,110-24,110.75,6.87,1165,-28178,0.505,4905
6th 10y note 0 out put,110-24,110.75,6.87,1166,-28166,-0.494,4905
6th 10y note 25 out call,110-24,111.0,7.01,1129,-28255,0.433,4824
6th 10y note 25 out put,110-24,110.5,6.89,1136,-27768,-0.42,4821
6th 10y note 50 out call,110-24,111.25,6.92,1092,-26430,0.361,4581
6th 10y note 50 out put,110-24,110.25,6.89,1073,-26300,-0.349,4578
6th 10y note 75 out call,110-24,111.5,7.02,997,-24634,0.297,4225
6th 10y note 75 out put,110-24,110.0,6.88,980,-23950,-0.28300000000000003,4198
6th 10y note 100 out call,110-24,111.75,6.9,900,-21195,0.233,3726
6th 10y note 100 out put,110-24,109.75,6.86,865,-21023,-0.223,3715
7th 10y note 0 out call,110-26.05,110.75,6.99,971,-24095,0.521,5872
7th 10y note 0 out put,110-26.05,110.75,6.98,971,-24081,-0.47600000000000003,5872
7th 10y note 25 out call,110-26.05,111.0,6.99,969,-23989,0.461,5839
7th 10y note 25 out put,110-26.05,110.5,6.98,950,-23637,-0.41600000000000004,5769
7th 10y note 50 out call,110-26.05,111.25,7.01,945,-23341,0.401,5673
7th 10y note 50 out put,110-26.05,110.25,6.98,906,-22683,-0.358,5537
7th 10y note 75 out call,110-26.05,111.5,7.04,898,-22226,0.344,5389
7th 10y note 75 out put,110-26.05,110.0,7.01,842,-21334,-0.303,5198
7th 10y note 100 out call,110-26.05,111.75,7.09,834,-20779,0.292,5014
7th 10y note 100 out put,110-26.05,109.75,7.08,764,-19775,-0.254,4785
