day,token,count,resolved_date
2025-08-18,18AUG25,42,2025-08-18
2025-08-18,19AUG25,42,2025-08-19
2025-08-18,20AUG25,42,2025-08-20
2025-08-18,21AUG25,42,2025-08-21
2025-08-18,25AUG25,42,2025-08-25
2025-08-18,26AUG25,42,2025-08-26
2025-08-18,27AUG25,42,2025-08-27
2025-08-18,28AUG25,42,2025-08-28
2025-08-18,29AUG25,42,2025-08-29
2025-08-18,SEP25,42,2025-08-22
2025-08-19,18AUG25,196,2025-08-18
2025-08-19,19AUG25,288,2025-08-19
2025-08-19,20AUG25,288,2025-08-20
2025-08-19,21AUG25,288,2025-08-21
2025-08-19,25AUG25,288,2025-08-25
2025-08-19,26AUG25,288,2025-08-26
2025-08-19,27AUG25,288,2025-08-27
2025-08-19,28AUG25,288,2025-08-28
2025-08-19,29AUG25,288,2025-08-29
2025-08-19,SEP25,288,2025-08-22
2025-08-20,19AUG25,288,2025-08-19
2025-08-20,20AUG25,288,2025-08-20
2025-08-20,21AUG25,288,2025-08-21
2025-08-20,25AUG25,288,2025-08-25
2025-08-20,26AUG25,288,2025-08-26
2025-08-20,27AUG25,288,2025-08-27
2025-08-20,28AUG25,288,2025-08-28
2025-08-20,29AUG25,288,2025-08-29
2025-08-20,SEP25,288,2025-08-22
2025-08-21,19AUG25,288,2025-08-19
2025-08-21,20AUG25,288,2025-08-20
2025-08-21,21AUG25,288,2025-08-21
2025-08-21,25AUG25,288,2025-08-25
2025-08-21,26AUG25,288,2025-08-26
2025-08-21,27AUG25,288,2025-08-27
2025-08-21,28AUG25,288,2025-08-28
2025-08-21,29AUG25,288,2025-08-29
2025-08-21,SEP25,288,2025-08-22
2025-08-22,19AUG25,163,2025-08-19
2025-08-22,20AUG25,163,2025-08-20
2025-08-22,21AUG25,163,2025-08-21
2025-08-22,25AUG25,163,2025-08-25
2025-08-22,26AUG25,163,2025-08-26
2025-08-22,27AUG25,163,2025-08-27
2025-08-22,28AUG25,163,2025-08-28
2025-08-22,29AUG25,163,2025-08-29
2025-08-22,SEP25,163,2025-08-22