scenario_header,uprice,point_header_original,shock_value,shock_type,ATMVol,Delta,DownHalfSDVol,Epsilon,Gamma,Notional,SimUPrice,Theta,UpHalfSDVol,Vega,Zeta
XCME.ZN,110.8359375,-30%,-0.3,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,77585.16,0.0,50000.0,0.0,0.0
XCME.ZN,110.8359375,-25%,-0.25,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,83126.95,0.0,50000.0,0.0,0.0
XCME.ZN,110.8359375,-20%,-0.2,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,88668.75,0.0,50000.0,0.0,0.0
XCME.ZN,110.8359375,-15%,-0.15,percentage,50000.0,-1000.0,50000.0,-0.33,0.0,156.25,94210.55,-0.4,50000.0,0.11,8.53
XCME.ZN,110.8359375,-10%,-0.1,percentage,50000.0,-1000.0,50000.0,-10.67,0.0,156.25,99752.34,-19.13,50000.0,3.49,166.82
XCME.ZN,110.8359375,-5%,-0.05,percentage,50000.0,-1000.0,50000.0,-46.81,0.0,156.25,105294.14,-181.29,50000.0,23.42,506.13
XCME.ZN,110.8359375,-2.5%,-0.025,percentage,50000.0,-1000.0,50000.0,-36.43,0.0,156.25,108065.04,-305.29,50000.0,36.2,360.9
XCME.ZN,110.8359375,-0.01%,-0.0001,percentage,50000.0,-0.0,50000.0,3.64,0.0,156.25,110824.85,-354.15,50000.0,41.03,-31.65
XCME.ZN,110.8359375,-2,-2.0,absolute_usd,50000.0,-1000.0,50000.0,-27.13,0.0,156.25,108835.94,-329.94,50000.0,38.63,266.07
XCME.ZN,110.8359375,-1.5,-1.5,absolute_usd,50000.0,-1000.0,50000.0,-20.0,0.0,156.25,109335.94,-341.76,50000.0,39.79,195.91
XCME.ZN,110.8359375,-1,-1.0,absolute_usd,50000.0,-1000.0,50000.0,-12.3,0.0,156.25,109835.94,-349.85,50000.0,40.58,121.22
XCME.ZN,110.8359375,-0.5,-0.5,absolute_usd,50000.0,-999.79,50000.0,-4.26,16.48,156.25,110335.94,-354.0,50000.0,41.0,44.07
XCME.ZN,110.8359375,-0.25,-0.25,absolute_usd,50000.0,-33.89,50000.0,-0.24,1593.09,156.25,110585.94,-354.56,50000.0,41.06,5.4
XCME.ZN,110.8359375,0,0.0,absolute_usd,50000.0,-0.0,50000.0,3.81,0.0,156.25,110835.94,-354.11,50000.0,41.02,-33.35
XCME.ZN,110.8359375,0.25,0.25,absolute_usd,50000.0,0.0,50000.0,7.77,-0.0,156.25,111085.94,-352.66,50000.0,40.89,-71.41
XCME.ZN,110.8359375,0.5,0.5,absolute_usd,50000.0,0.0,50000.0,11.64,0.0,156.25,111335.94,-350.23,50000.0,40.67,-108.7
XCME.ZN,110.8359375,1,1.0,absolute_usd,50000.0,0.0,50000.0,18.97,0.0,156.25,111835.94,-342.55,50000.0,39.94,-180.04
XCME.ZN,110.8359375,1.5,1.5,absolute_usd,50000.0,0.0,50000.0,25.59,0.0,156.25,112335.94,-331.38,50000.0,38.88,-245.61
XCME.ZN,110.8359375,2,2.0,absolute_usd,50000.0,0.0,50000.0,31.31,0.0,156.25,112835.94,-317.11,50000.0,37.5,-303.9
XCME.ZN,110.8359375,0.01%,0.0001,percentage,50000.0,-0.0,50000.0,3.99,0.0,156.25,110847.02,-354.06,50000.0,41.02,-35.05
XCME.ZN,110.8359375,2.5%,0.025,percentage,50000.0,0.0,50000.0,38.09,0.0,156.25,113606.84,-290.19,50000.0,34.86,-376.94
XCME.ZN,110.8359375,5%,0.05,percentage,50000.0,0.0,50000.0,41.73,0.0,156.25,116377.73,-172.68,50000.0,22.68,-455.95
XCME.ZN,110.8359375,10%,0.1,percentage,50000.0,0.0,50000.0,11.32,0.0,156.25,121919.53,-26.24,50000.0,4.64,-170.6
XCME.ZN,110.8359375,15%,0.15,percentage,50000.0,0.0,50000.0,0.91,0.0,156.25,127461.33,-1.55,50000.0,0.4,-20.54
XCME.ZN,110.8359375,20%,0.2,percentage,50000.0,0.0,50000.0,0.03,0.0,156.25,133003.13,-0.04,50000.0,0.02,-1.04
XCME.ZN,110.8359375,25%,0.25,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,138544.92,-0.0,50000.0,0.0,-0.03
XCME.ZN,110.8359375,30%,0.3,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,144086.72,-0.0,50000.0,0.0,-0.0
w/o first,110.8359375,-30%,-0.3,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,77585.16,0.0,50000.0,0.0,0.0
w/o first,110.8359375,-25%,-0.25,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,83126.95,0.0,50000.0,0.0,0.0
w/o first,110.8359375,-20%,-0.2,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,88668.75,0.0,50000.0,0.0,0.0
w/o first,110.8359375,-15%,-0.15,percentage,50000.0,-1000.0,50000.0,-0.33,0.0,156.25,94210.55,-0.4,50000.0,0.11,8.53
w/o first,110.8359375,-10%,-0.1,percentage,50000.0,-1000.0,50000.0,-10.67,0.0,156.25,99752.34,-19.13,50000.0,3.49,166.82
w/o first,110.8359375,-5%,-0.05,percentage,50000.0,-1000.0,50000.0,-46.81,0.0,156.25,105294.14,-181.29,50000.0,23.42,506.13
w/o first,110.8359375,-2.5%,-0.025,percentage,50000.0,-1000.0,50000.0,-36.43,0.0,156.25,108065.04,-305.29,50000.0,36.2,360.9
w/o first,110.8359375,-0.01%,-0.0001,percentage,50000.0,-0.0,50000.0,3.64,0.0,156.25,110824.85,-354.15,50000.0,41.03,-31.65
w/o first,110.8359375,-2,-2.0,absolute_usd,50000.0,-1000.0,50000.0,-27.13,0.0,156.25,108835.94,-329.94,50000.0,38.63,266.07
w/o first,110.8359375,-1.5,-1.5,absolute_usd,50000.0,-1000.0,50000.0,-20.0,0.0,156.25,109335.94,-341.76,50000.0,39.79,195.91
w/o first,110.8359375,-1,-1.0,absolute_usd,50000.0,-1000.0,50000.0,-12.3,0.0,156.25,109835.94,-349.85,50000.0,40.58,121.22
w/o first,110.8359375,-0.5,-0.5,absolute_usd,50000.0,-999.79,50000.0,-4.26,16.48,156.25,110335.94,-354.0,50000.0,41.0,44.07
w/o first,110.8359375,-0.25,-0.25,absolute_usd,50000.0,-33.89,50000.0,-0.24,1593.09,156.25,110585.94,-354.56,50000.0,41.06,5.4
w/o first,110.8359375,0,0.0,absolute_usd,50000.0,-0.0,50000.0,3.81,0.0,156.25,110835.94,-354.11,50000.0,41.02,-33.35
w/o first,110.8359375,0.25,0.25,absolute_usd,50000.0,0.0,50000.0,7.77,-0.0,156.25,111085.94,-352.66,50000.0,40.89,-71.41
w/o first,110.8359375,0.5,0.5,absolute_usd,50000.0,0.0,50000.0,11.64,0.0,156.25,111335.94,-350.23,50000.0,40.67,-108.7
w/o first,110.8359375,1,1.0,absolute_usd,50000.0,0.0,50000.0,18.97,0.0,156.25,111835.94,-342.55,50000.0,39.94,-180.04
w/o first,110.8359375,1.5,1.5,absolute_usd,50000.0,0.0,50000.0,25.59,0.0,156.25,112335.94,-331.38,50000.0,38.88,-245.61
w/o first,110.8359375,2,2.0,absolute_usd,50000.0,0.0,50000.0,31.31,0.0,156.25,112835.94,-317.11,50000.0,37.5,-303.9
w/o first,110.8359375,0.01%,0.0001,percentage,50000.0,-0.0,50000.0,3.99,0.0,156.25,110847.02,-354.06,50000.0,41.02,-35.05
w/o first,110.8359375,2.5%,0.025,percentage,50000.0,0.0,50000.0,38.09,0.0,156.25,113606.84,-290.19,50000.0,34.86,-376.94
w/o first,110.8359375,5%,0.05,percentage,50000.0,0.0,50000.0,41.73,0.0,156.25,116377.73,-172.68,50000.0,22.68,-455.95
w/o first,110.8359375,10%,0.1,percentage,50000.0,0.0,50000.0,11.32,0.0,156.25,121919.53,-26.24,50000.0,4.64,-170.6
w/o first,110.8359375,15%,0.15,percentage,50000.0,0.0,50000.0,0.91,0.0,156.25,127461.33,-1.55,50000.0,0.4,-20.54
w/o first,110.8359375,20%,0.2,percentage,50000.0,0.0,50000.0,0.03,0.0,156.25,133003.13,-0.04,50000.0,0.02,-1.04
w/o first,110.8359375,25%,0.25,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,138544.92,-0.0,50000.0,0.0,-0.03
w/o first,110.8359375,30%,0.3,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,144086.72,-0.0,50000.0,0.0,-0.0
30MAY25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-1.5,-1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,10%,0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,15%,0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,20%,0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,25%,0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,110.8359375,30%,0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02JUN25,110.8359375,-30%,-0.3,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,77585.16,0.0,50000.0,0.0,0.0
02JUN25,110.8359375,-25%,-0.25,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,83126.95,0.0,50000.0,0.0,0.0
02JUN25,110.8359375,-20%,-0.2,percentage,50000.0,-1000.0,50000.0,0.0,0.0,156.25,88668.75,0.0,50000.0,0.0,0.0
02JUN25,110.8359375,-15%,-0.15,percentage,50000.0,-1000.0,50000.0,-0.33,0.0,156.25,94210.55,-0.4,50000.0,0.11,8.53
02JUN25,110.8359375,-10%,-0.1,percentage,50000.0,-1000.0,50000.0,-10.67,0.0,156.25,99752.34,-19.13,50000.0,3.49,166.82
02JUN25,110.8359375,-5%,-0.05,percentage,50000.0,-1000.0,50000.0,-46.81,0.0,156.25,105294.14,-181.29,50000.0,23.42,506.13
02JUN25,110.8359375,-2.5%,-0.025,percentage,50000.0,-1000.0,50000.0,-36.43,0.0,156.25,108065.04,-305.29,50000.0,36.2,360.9
02JUN25,110.8359375,-0.01%,-0.0001,percentage,50000.0,-0.0,50000.0,3.64,0.0,156.25,110824.85,-354.15,50000.0,41.03,-31.65
02JUN25,110.8359375,-2,-2.0,absolute_usd,50000.0,-1000.0,50000.0,-27.13,0.0,156.25,108835.94,-329.94,50000.0,38.63,266.07
02JUN25,110.8359375,-1.5,-1.5,absolute_usd,50000.0,-1000.0,50000.0,-20.0,0.0,156.25,109335.94,-341.76,50000.0,39.79,195.91
02JUN25,110.8359375,-1,-1.0,absolute_usd,50000.0,-1000.0,50000.0,-12.3,0.0,156.25,109835.94,-349.85,50000.0,40.58,121.22
02JUN25,110.8359375,-0.5,-0.5,absolute_usd,50000.0,-999.79,50000.0,-4.26,16.48,156.25,110335.94,-354.0,50000.0,41.0,44.07
02JUN25,110.8359375,-0.25,-0.25,absolute_usd,50000.0,-33.89,50000.0,-0.24,1593.09,156.25,110585.94,-354.56,50000.0,41.06,5.4
02JUN25,110.8359375,0,0.0,absolute_usd,50000.0,-0.0,50000.0,3.81,0.0,156.25,110835.94,-354.11,50000.0,41.02,-33.35
02JUN25,110.8359375,0.25,0.25,absolute_usd,50000.0,0.0,50000.0,7.77,-0.0,156.25,111085.94,-352.66,50000.0,40.89,-71.41
02JUN25,110.8359375,0.5,0.5,absolute_usd,50000.0,0.0,50000.0,11.64,0.0,156.25,111335.94,-350.23,50000.0,40.67,-108.7
02JUN25,110.8359375,1,1.0,absolute_usd,50000.0,0.0,50000.0,18.97,0.0,156.25,111835.94,-342.55,50000.0,39.94,-180.04
02JUN25,110.8359375,1.5,1.5,absolute_usd,50000.0,0.0,50000.0,25.59,0.0,156.25,112335.94,-331.38,50000.0,38.88,-245.61
02JUN25,110.8359375,2,2.0,absolute_usd,50000.0,0.0,50000.0,31.31,0.0,156.25,112835.94,-317.11,50000.0,37.5,-303.9
02JUN25,110.8359375,0.01%,0.0001,percentage,50000.0,-0.0,50000.0,3.99,0.0,156.25,110847.02,-354.06,50000.0,41.02,-35.05
02JUN25,110.8359375,2.5%,0.025,percentage,50000.0,0.0,50000.0,38.09,0.0,156.25,113606.84,-290.19,50000.0,34.86,-376.94
02JUN25,110.8359375,5%,0.05,percentage,50000.0,0.0,50000.0,41.73,0.0,156.25,116377.73,-172.68,50000.0,22.68,-455.95
02JUN25,110.8359375,10%,0.1,percentage,50000.0,0.0,50000.0,11.32,0.0,156.25,121919.53,-26.24,50000.0,4.64,-170.6
02JUN25,110.8359375,15%,0.15,percentage,50000.0,0.0,50000.0,0.91,0.0,156.25,127461.33,-1.55,50000.0,0.4,-20.54
02JUN25,110.8359375,20%,0.2,percentage,50000.0,0.0,50000.0,0.03,0.0,156.25,133003.13,-0.04,50000.0,0.02,-1.04
02JUN25,110.8359375,25%,0.25,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,138544.92,-0.0,50000.0,0.0,-0.03
02JUN25,110.8359375,30%,0.3,percentage,50000.0,0.0,50000.0,0.0,0.0,156.25,144086.72,-0.0,50000.0,0.0,-0.0
06JUN25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-1.5,-1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,10%,0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,15%,0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,20%,0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,25%,0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,30%,0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
